City,Population
Frauenkappelen,
Lutzelfluh,
Wengen,
Les Paquis,
Wildegg,
Mariastein,
Hohfluh,
Tomils,
Zweilutschinen,
Gelterkinden,5541
Latsch,
Gemmi Passhohe,
Muhlethurnen,
Veyrier,9375
Altenrhein,
Jaun,
Riederen,
Vevey,16014
Schwendi,
Mont-la-Ville,
Niederrohrdorf,
La Chaux-de-Fonds,36971
Lutschenthal,
Rolle,
Seewis im Pratigau,
Rodersdorf,
Rutti,
Sax,
Schmerikon,
Lucens,
Aescher,
Betten,
Bilten,
Cremines,
Aubonne,
Etzel,
Luterbach,
Plaffeien,
Rothernburg,
Stachelberg Bad,
Cre digl Lai,
Vissoie,
San Gallo,
Griesalp,
Niederrickenbach,
Curtina,
Attiswil,
Sonvilier,
Vesenaz,
Vuadens,
Wallisellen,12820
Courroux,
Ganterschwil,
La Tour-de-Peilz,10835
Gunzgen,
Gumligen,
Adannes,
Chamoson,
Tour de Treme,
Elsau,
Hertenstein,
Schlieren,13762
La Barma,
Uors,
Itravers,
Le Grand-Saconnex,8457
Alpe di Cava,
Burstera,
Bavois,
Illiswil,
Niederuzwil,
Buhler,
Wassen,
Les Hauderes,
Gibswil,
Ageri,
Altishofen,
Bercher,
Murren,
Orbe,5466
Zervreila-Oberboden,
Farvagny-le-Petit,
Dorfji,
Montana Vermala,
Romerswil,
Travers,
Am Bach,
Disla,
Beringen,
Cerentino,
Eriz,
Rothenbrummen,
Grosswangen,
Isental,
Kaiseraugst,
Praz,
Russin,
Moudon,
Someo,
Mittholz,
Beim Thurm,
Jenins,
Cortuillod,
Lavorgo,
Monchaltorf,
Prafloric,
Balsthal,5576
Granichen,6444
Mettmenstetten,
Alp Valtnov,
Rekingen,
Les Pleiades,
Andermatt,
Heiligenschwendi,
Hochwald,
Alton,
Bumpliz,
Feldbrunner,
Schubelbach,8292
Le Brassus,
Scuol,
Colombier,5133
Anzonico,
Tannay,
Villettaz,
Ambri,
Andwil,
Busswil bei Buren an der Aare,
Ober-Wangen,
Chateau-d'Oex,
Gummeli,
Villars-sur-Glane,9379
Vauderens,
Maisprach,
Busserach,
Gross-Fetan,
Oberbipp,
Ryborg,
Chiesaz,
Pralovin,
Hessigkofen,
Hornussen,
Lumbrein,
Matzenried,
Prugiasco,
Les Plans-sur-Bex,
Titterten,
Realta,
Wiler,
Meilen,11723
Ragaz,
Spiringen,
Basse-Nendaz,
Brugg,9159
Glovelier,
Oetwil an der Limmat,
Reams,
Alvaneu Dorf,
Bottenwil,
Avry,
Ladils,
Landquart Fabriken,
Mollettes,
Mezzovico,
Muldain,
Nufenen,
Sales,
Wuadingen,
Le Landeron,
Damvant,
Ladholz,
Tagerwilen,
Hasle,
Salouf,
Scharans,
Monti di Lanes,
Weissbad,
Elm,
Matteli,
Munsterlingen,
Cagnago,
Zillis,
Weissenbach,
Montricher,
Dorfli,
Felben,
Saas-Balen,
Thusis,
Hollerbuhl,
Schwanden,
Oberried,
Daniken,
Gerlikon,
Messen,
Forna,
Stabio,
Mittelsass,
Barma,
Champagne,
Etzwilen,
Letten,
Inner Hof,
Brienzwiler-Dorf,
Hausen,
Siselen,
Isleten,
Peseux,5580
Stein am Rhein,
Issert,
